x : f(x) : interpolation : error
-0.683198 : 0.409481 : 0.4093 : 0.000181356
-0.682198 : 0.408417 : 0.40824 : 0.000176549
-0.681198 : 0.407353 : 0.407181 : 0.000171807
-0.680198 : 0.40629 : 0.406123 : 0.000167129
-0.679198 : 0.405228 : 0.405066 : 0.000162514
-0.678198 : 0.404167 : 0.404009 : 0.000157961
-0.677198 : 0.403107 : 0.402954 : 0.00015347
-0.676198 : 0.402048 : 0.401899 : 0.000149042
-0.675198 : 0.40099 : 0.400845 : 0.000144674
-0.674198 : 0.399933 : 0.399792 : 0.000140367
-0.673198 : 0.398877 : 0.39874 : 0.00013612
-0.672198 : 0.397821 : 0.397689 : 0.000131933
-0.671198 : 0.396767 : 0.396639 : 0.000127805
-0.670198 : 0.395714 : 0.39559 : 0.000123736
-0.669198 : 0.394661 : 0.394541 : 0.000119725
-0.668198 : 0.39361 : 0.393494 : 0.000115771
-0.667198 : 0.392559 : 0.392447 : 0.000111875
-0.666198 : 0.391509 : 0.391401 : 0.000108036
-0.665198 : 0.390461 : 0.390357 : 0.000104253
-0.664198 : 0.389413 : 0.389313 : 0.000100526
-0.663198 : 0.388367 : 0.38827 : 9.68546e-05
-0.662198 : 0.387321 : 0.387228 : 9.32379e-05
-0.661198 : 0.386276 : 0.386186 : 8.96756e-05
-0.660198 : 0.385232 : 0.385146 : 8.61674e-05
-0.659198 : 0.384189 : 0.384107 : 8.27126e-05
-0.658198 : 0.383148 : 0.383068 : 7.93109e-05
-0.657198 : 0.382107 : 0.382031 : 7.59619e-05
-0.656198 : 0.381067 : 0.380994 : 7.2665e-05
-0.655198 : 0.380028 : 0.379959 : 6.94198e-05
-0.654198 : 0.37899 : 0.378924 : 6.62259e-05
-0.653198 : 0.377953 : 0.37789 : 6.30828e-05
-0.652198 : 0.376917 : 0.376857 : 5.999e-05
-0.651198 : 0.375882 : 0.375825 : 5.69473e-05
-0.650198 : 0.374848 : 0.374794 : 5.39539e-05
-0.649198 : 0.373815 : 0.373764 : 5.10097e-05
-0.648198 : 0.372783 : 0.372735 : 4.81141e-05
-0.647198 : 0.371752 : 0.371707 : 4.52666e-05
-0.646198 : 0.370722 : 0.370679 : 4.24669e-05
-0.645198 : 0.369693 : 0.369653 : 3.97145e-05
-0.644198 : 0.368665 : 0.368628 : 3.7009e-05
-0.643198 : 0.367638 : 0.367603 : 3.435e-05
-0.642198 : 0.366612 : 0.36658 : 3.17371e-05
-0.641198 : 0.365587 : 0.365557 : 2.91697e-05
-0.640198 : 0.364563 : 0.364536 : 2.66476e-05
-0.639198 : 0.36354 : 0.363515 : 2.41702e-05
-0.638198 : 0.362518 : 0.362496 : 2.17373e-05
-0.637198 : 0.361497 : 0.361477 : 1.93483e-05
-0.636198 : 0.360477 : 0.36046 : 1.70028e-05
-0.635198 : 0.359458 : 0.359443 : 1.47006e-05
-0.634198 : 0.35844 : 0.358427 : 1.2441e-05
-0.633198 : 0.357423 : 0.357412 : 1.02238e-05
-0.632198 : 0.356407 : 0.356399 : 8.0485e-06
-0.631198 : 0.355392 : 0.355386 : 5.91476e-06
-0.630198 : 0.354378 : 0.354374 : 3.82215e-06
